address,unique_sender_nodes_count,unique_receiver_nodes_count,unique_sender_total_amount,unique_receiver_total_amount,cycle_tx_count,bidirectional_counterparties,closeness_centrality,betweenness_centrality,pagerank,degree_centrality,in_neighbor_count,out_neighbor_count,total_in_tx_count,total_out_tx_count,total_in_amount,total_out_amount,avg_in_amount,avg_out_amount,total_in_gas_used,total_out_gas_used,avg_in_gas_used,avg_out_gas_used,active_days,tx_per_day,amount_per_day,recv_gas_efficiency,send_gas_efficiency,first_tx_time,last_tx_time
0xf37774c2d0968775c7b08e2c7f57f697dfec8559,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603850609,1603850609
0xf377826d8b1ad3b28a358d7de204ae4bbeec6a0d,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.778055047119954e-05,0.00025135101168782207,1,1,1,1,15404.0,15404.0,15404.0,15404.0,54186,32286,54186.0,32286.0,2,1.0,15404.0,0.28428007234340974,0.47711082202812366,1627419145,1634628419
0xf37a43a6b019b583d99afa9bab210adbe5ccfaad,0,1,0.0,26410.0,3,0,0.36389177513927445,9.536663693102292e-05,3.621903062268404e-05,0.0003770265175317331,2,1,2,1,26410.0,26410.0,13205.0,26410.0,91160,38086,45580.0,38086.0,3,1.0,17606.666666666668,0.2897103992979377,0.6934306569343066,1606795912,1615944007
0xf37b1a35647e4efc1afec5bb870e0bcbf1ac2ffc,1,0,52960.0,0.0,887,0,0.3734529942628661,0.00010359025358182445,0.0075163664535772305,0.11147417368354909,3,1,605,282,35148351.0,35148351.0,58096.447933884294,124639.5425531915,23795578,18232226,39331.53388429752,64653.283687943265,85,10.435294117647059,827020.0235294118,1.4770959125262686,1.9278145740404928,1615430520,1624866772
0xf37d01e15dde24d490ef1645e03db9e3a454117d,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603847290,1603847290
0xf3849ec6b26202e5673720481f8aae16a8f618a7,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,3.737310736694436e-05,0.00025135101168782207,1,1,1,1,11765.0,11765.0,11765.0,11765.0,54186,32286,54186.0,32286.0,2,1.0,11765.0,0.21712250396781457,0.364399430093539,1624923952,1634977285
0xf38874f5689e8bd7f0aee152f6a290f6951c9af9,4,1,174.0,219.0,3,0,0.2695609149330599,0.0008363482272610831,0.00015896166689259098,0.0007540530350634662,4,1,4,2,174.0,219.0,43.5,109.5,92296,91148,23074.0,45574.0,3,2.0,131.0,0.001885238796914276,0.0024026857418703645,1610967248,1615148472
0xf38f702a1060415e27fc2e02b25f72174ed54761,1,0,40.0,0.0,0,0,0.22306345771791555,0.0,6.678554049272771e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,39174,0,39174.0,0.0,1,1.0,40.0,0.001021085413794864,0.0,1622408576,1622408576
0xf3940f409c2013a1995cc8d1cd164b81bfed0cee,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603850571,1603850571
0xf3a30b03baa85948db290b4d79a57bd18033c975,0,0,0.0,0.0,0,0,0.2872101556877123,0.0,3.606087694366617e-05,0.00012567550584391103,1,0,1,0,40.0,0.0,40.0,0.0,53074,0,53074.0,0.0,1,1.0,40.0,0.0007536646945773825,0.0,1603850589,1603850589
0xf3a9bf727d04ff40d9ba85aaa8067bc3551ab0d8,0,0,0.0,0.0,2,0,0.2880341833724528,5.073662471018765e-07,3.606087694366617e-05,0.00025135101168782207,1,1,1,1,40.0,40.0,40.0,40.0,53074,23062,53074.0,23062.0,1,2.0,80.0,0.0007536646945773825,0.001734454947532738,1603847220,1603867348
0xf3abec0211f97a93e5e33e12824d998b4ed3a33e,0,0,0.0,0.0,2,0,0.3455933260342711,1.4488537926678518e-05,3.6065922728566665e-05,0.00025135101168782207,1,1,1,1,80.0,80.0,80.0,80.0,53074,23074,53074.0,23074.0,1,2.0,160.0,0.001507329389154765,0.003467105833405565,1603847119,1603866494
0xf3adca19788f1529af8be600b9afb8d508ffe861,0,0,0.0,0.0,2,0,0.3711634799307604,1.105635166104868e-06,4.051296089061241e-05,0.00025135101168782207,1,1,1,1,39808.0,39808.0,39808.0,39808.0,54174,32286,54174.0,32286.0,2,1.0,39808.0,0.7348174401004172,1.2329802391129283,1624837000,1634977285
0xf3aeff65982d0b295490a1a6757870333b71729f,0,0,0.0,0.0,2,0,0.3717724295298593,2.244901428235216e-06,3.696352521408139e-05,0.00025135101168782207,1,1,1,1,4242.0,4242.0,4242.0,4242.0,53086,66325,53086.0,66325.0,1,2.0,8484.0,0.07990807369174548,0.06395778364116095,1617767598,1617768148
0xf3bfbfa61bce43f69ca9c6ea7cb1e82520bac155,0,0,0.0,0.0,2,0,0.3717724295298593,2.244901428235216e-06,3.60772289441338e-05,0.00025135101168782207,1,1,1,1,100.0,100.0,100.0,100.0,53074,66313,53074.0,66313.0,1,2.0,200.0,0.0018841617364434562,0.0015079999396800023,1618415010,1618415509
